"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.8426399403838,0.923,0.335,0,"0","IL7R"
"TCF7",0,2.6420895750805,0.675,0.184,0,"0","TCF7"
"CD3D",0,1.12476853953756,0.849,0.375,0,"0","CD3D"
"CD3E",0,1.29990577135454,0.892,0.424,0,"0","CD3E"
"LTB",0,1.69194448110448,0.815,0.348,0,"0","LTB"
"LEF1",0,2.96398187239373,0.543,0.117,0,"0","LEF1"
"CD3G",0,1.18162469749443,0.73,0.313,0,"0","CD3G"
"CCR7",0,2.31971586649625,0.589,0.173,0,"0","CCR7"
"GIMAP7",0,1.66764693761623,0.733,0.348,0,"0","GIMAP7"
"CAMK4",0,2.07586585941661,0.523,0.153,0,"0","CAMK4"
"FYB1",0,1.28124540783723,0.821,0.478,0,"0","FYB1"
"RCAN3",0,2.02167009683231,0.515,0.173,0,"0","RCAN3"
"SPOCK2",0,1.15717707165824,0.66,0.321,0,"0","SPOCK2"
"ITK",0,1.50686367215781,0.576,0.246,0,"0","ITK"
"SELL",0,1.73177478138359,0.567,0.241,0,"0","SELL"
"IL32",0,0.570110771915116,0.883,0.559,0,"0","IL32"
"LEPROTL1",0,1.2603093551891,0.759,0.436,0,"0","LEPROTL1"
"GIMAP5",0,1.84724326541136,0.528,0.21,0,"0","GIMAP5"
"PIK3IP1",0,1.40161877644255,0.673,0.358,0,"0","PIK3IP1"
"NOSIP",0,2.15645092623881,0.613,0.298,0,"0","NOSIP"
"LDHB",0,1.86282378385125,0.841,0.53,0,"0","LDHB"
"BCL11B",0,1.39902660846154,0.53,0.224,0,"0","BCL11B"
"GIMAP4",0,1.38426846977344,0.618,0.314,0,"0","GIMAP4"
"LINC00861",0,1.69249915893759,0.507,0.203,0,"0","LINC00861"
"CD2",0,0.64276651683865,0.684,0.382,0,"0","CD2"
"CD48",0,1.06801235424691,0.809,0.519,0,"0","CD48"
"CD52",0,0.592318518122338,0.89,0.605,0,"0","CD52"
"ETS1",0,1.02480823479332,0.835,0.553,0,"0","ETS1"
"LCK",0,0.875705448765847,0.623,0.343,0,"0","LCK"
"MCUB",0,1.54020109697347,0.537,0.258,0,"0","MCUB"
"CD7",0,0.33830272189573,0.654,0.379,0,"0","CD7"
"LIME1",0,1.25548621871679,0.552,0.282,0,"0","LIME1"
"IKZF1",0,0.892724626893939,0.707,0.45,0,"0","IKZF1"
"RGS10",0,1.08643142980732,0.577,0.327,0,"0","RGS10"
"CD69",0,0.407009073496787,0.714,0.464,0,"0","CD69"
"LAT",0,1.09278782532812,0.506,0.257,0,"0","LAT"
"RIPOR2",0,0.951544475548123,0.605,0.357,0,"0","RIPOR2"
"IFITM1",0,0.708041726555681,0.789,0.542,0,"0","IFITM1"
"ARHGAP15",0,1.21017373747373,0.572,0.328,0,"0","ARHGAP15"
"MGAT4A",0,1.2336291682026,0.514,0.272,0,"0","MGAT4A"
"LIMD2",0,0.838327139709356,0.748,0.507,0,"0","LIMD2"
